,
 睡 ,起來
 睡午覺 ,起來
 收 ,起來
 扣 ,起來
 發炎 ,起來
 照 ,起來
 要 ,起來
 比較 ,起來
 關 ,起來
 收 ,起來
 關 ,起來
 抓 ,起來
 定 ,起來
 坦 ,起來
 有 ,起來
 好 ,起來
 冰 ,起來
 冰 ,起來
 輕鬆 ,起來
 拖 ,起來
 捏 ,起來
 加 ,起來
 想 ,起來
 鬧 ,起來
 叫 ,起來
 叫 ,起來
 叫 ,起來
 量 ,起來
 緊張 ,起來
 省 ,起來
 需要 ,起來
 加 ,起來
 揹 ,起來
 收 ,起來
 囤 ,起來
 腫 ,起來
 冷凍 ,起來
 錄 ,起來
 抽 ,起來
 抽 ,起來
 拍 ,起來
 哭 ,起來
 包 ,起來
 包 ,起來
 哭 ,起來
 想 ,起來
 喝 ,起來
 大哭 ,起來
 有 ,起來
 要 ,起來
 要 ,起來
 累積 ,起來
 好 ,起來
 舒服 ,起來
 關 ,起來
 使用 ,起來
 收 ,起來
 黑 ,起來
 需要 ,起來
 泡 ,起來
 收 ,起來
 收 ,起來
 舀 ,起來
 加 ,起來
 關 ,起來
 關 ,起來
 緊張 ,起來
 硬 ,起來
 抱直 ,起來
 睡覺 ,起來
 包 ,起來
 包 ,起來
 關 ,起來
 灰 ,起來
 嚴重 ,起來
 收 ,起來
 收 ,起來
 忙 ,起來
 想 ,起來
 好 ,起來
 凸 ,起來
 戴 ,起來
 戴 ,起來
 拍 ,起來
 抓 ,起來
 加 ,起來
 喝 ,起來
 睡 ,起來
 腫 ,起來
 收 ,起來
 翻 ,起來
 揹 ,起來
 揹 ,起來
 冷凍 ,起來
 準備 ,起來
 束 ,起來
 收 ,起來
 折疊 ,起來
 加 ,起來
 收 ,起來
 套 ,起來
 收 ,起來
 收 ,起來
 立 ,起來
 收 ,起來
 收 ,起來
 想 ,起來
 心酸 ,起來
 叫 ,起來
 想 ,起來
 加 ,起來
 要 ,起來
 有 ,起來
 加 ,起來
 焦慮 ,起來
 揹 ,起來
 存 ,起來
 多 ,起來
 收 ,起來
 建立 ,起來
 抓 ,起來
 折疊 ,起來
 折 ,起來
 藏 ,起來
 省 ,起來
 好 ,起來
 吸 ,起來
 收 ,起來
 藏 ,起來
 收 ,起來
 藏 ,起來
 收 ,起來
 抓 ,起來
 享受 ,起來
 喝 ,起來
 拍 ,起來
 烤 ,起來
 包 ,起來
 叫 ,起來
 回想 ,起來
 收 ,起來
 痛 ,起來
 收 ,起來
 收 ,起來
 比較 ,起來
 照 ,起來
 學 ,起來
 感覺 ,起來
 縮 ,起來
 硬 ,起來
 冷藏 ,起來
 收 ,起來
 感覺 ,起來
 叫 ,起來
 搖 ,起來
 吵 ,起來
 堅強 ,起來
 學 ,起來
 想要 ,起來
 搭配 ,起來
 喝 ,起來
